Fecha,Cantidad Registros,Media,Desviación Estándar,Mínimo,25%,50%,75%,Máximo,,,,,,
2019-12-01,14410,10640.37225,7764.839265,294.44,5355.4275,8182.245,13347.05,86245.29,,,,,,
2020-01-01,12701,11344.20598,8844.232417,175.41,5363.14,8339.72,14186.46,97698.38,,,,,,
2020-02-01,13865,11231.74874,8631.169699,350.98,5422.52,8448.72,14185.34,97274.55,,,,,,
2020-03-01,14210,11289.43692,8149.261638,177.2,5715.93,8799.53,14061.7325,89433.9,,,,,,
2020-04-01,14309,11735.0229,8773.715312,291.75,5740.72,9082.7,14635.86,98881.96,,,,,,
2020-05-01,14170,11732.28138,8766.129897,359.31,5772.25,9087.71,14621.97,98881.96,,,,,,
2020-06-01,14253,10369.90614,7255.743268,179.65,5391.62,8212.64,12984.45,77608.82,,,,,,
2020-07-01,12548,11757.13411,9029.290937,410.72,5649.48,8707.67,14621.8,98881.96,,,,,,
2020-08-01,12290,11841.81504,9094.887143,407.16,5649.48,8862.55,14621.97,98881.96,,,,,,
2020-09-01,13906,11632.59497,8795.173362,307.14,5649.48,8895.99,14609.705,98881.96,,,,,,
2020-10-01,14009,11708.26017,8679.280885,359.31,5805.8,9096.81,14621.8,98881.96,,,,,,
2020-11-01,14031,11248.3268,8061.233189,343.25,5715.93,8839.85,14038.06,89433.9,,,,,,
2020-12-01,14890,17127.88319,9414.391177,1107.47,10396.27,14372.47,21071.71,93467.5,,,,,,
2021-01-01,13940,12597.309,9044.763406,547.04,6826.31,9976.81,15420.635,101260.38,,,,,,
2021-02-01,13533,13488.46272,8815.604251,544.11,7791.18,10657.15,16299.32,101463.43,,,,,,
2021-03-01,13898,13803.60542,8493.969433,695.34,7880.75,11109.17,16730.8,93409.31,,,,,,
2021-04-01,13911,14066.91815,9097.515383,654.75,7793.2,11129.45,17244.415,102661.88,,,,,,
2021-05-01,13901,14021.08136,9089.443987,654.75,7797.02,11064.6,17086.16,102661.88,,,,,,
2021-06-01,13840,17724.34798,11927.04398,797.04,9444.96,13908.415,22101,138744.51,,,,,,
2021-07-01,12200,13876.17457,9384.832966,654.75,7592.09,10750.54,16988.99,102661.88,,,,,,
2021-08-01,13500,13646.99602,9124.398779,644,7592.09,10818.75,16736.9425,102661.88,,,,,,
2021-09-01,13784,13717.60607,9010.06389,654.75,7614.16,10945.02,16798.68,102559.88,,,,,,
2021-10-01,13105,14149.44112,8889.271907,248.05,8226.43,11425.69,17123.64,102559.88,,,,,,
2021-11-01,13813,13046.25727,7882.510895,187.54,7429.14,10737.69,16037.9,92987.31,,,,,,
2022-02-01,12973,13976.29055,8782.168477,383.4,8292.17,11400.31,17012.66,101647.77,,,,,,
2022-03-01,13081,14191.75164,8637.506282,457.16,8090.44,11564.11,17387.27,97517.09,,,,,,
2022-04-01,13133,14799.88301,9278.219534,198.64,8256.16,12033.89,18244.96,106441.03,,,,,,
2022-05-01,13118,14658.98883,9278.452632,211.75,8133.0425,11826.16,17930.3125,106441.03,,,,,,
2022-06-01,13088,18572.87516,12268.2426,1201.75,10011.04,14837.12,23255.61,140739.88,,,,,,
2022-07-01,11461,14656.65494,9553.142639,205.36,8077.84,11443.22,17772.41,106441.03,,,,,,
2022-08-01,12624,14304.84102,9429.038971,245.38,7941.91,11424.79,17772.2,106441.03,,,,,,
2022-09-01,12992,14508.8358,9245.170136,189.65,8118.54,11623.16,17772.23,106441.03,,,,,,
2022-10-01,13111,14691.83975,9098.634505,205.36,8628.56,11953.68,17772.23,106441.03,,,,,,
2022-11-01,13107,13989.88241,8545.894439,851.19,8057.73,11376.2,17152.68,97517.09,,,,,,
2022-12-01,13123,19718.00278,9707.566087,422.81,12691.645,17007.59,24235.18,102386.9,,,,,,
2023-01-01,11504,14737.15264,9632.61582,472.57,8113.42,11595.72,17999.035,107790.01,,,,,,
2023-02-01,12822,14936.21209,9135.333625,405.9,8972.8925,12412.01,18056.12,106374.47,,,,,,
2023-03-01,13005,15088.80177,9044.481396,405.9,8804.79,12442.02,18409.19,102664.94,,,,,,
2023-04-01,13141,15572.47956,9673.707718,348.02,8913.32,12718.47,18976.49,111936.46,,,,,,
2023-05-01,13124,15938.46793,9583.269064,292.15,9409.045,13289.47,19667.56,111936.46,,,,,,
2023-06-01,13120,19782.69978,12778.3365,722.3,11117.745,15915.92,24627.59,147051.59,,,,,,
2023-07-01,11423,15662.39841,9891.055852,415.39,8831,12524.26,18863.97,111936.46,,,,,,
2023-08-01,12535,15351.69332,9791.976237,246.65,8687.14,12607.67,18863.97,111936.46,,,,,,
2023-09-01,13013,15403.92262,9594.254425,405.9,8832.91,12582.33,18795.97,111868.46,,,,,,
2023-10-01,13088,15628.43231,9409.956725,267,9466.1,12828.45,18846.41,111868.46,,,,,,
2023-11-01,13387,14693.50991,8895.890922,769.7,8593.79,12117,18076.26,102596.94,,,,,,
2023-12-01,13409,21298.89351,10357.03525,230.03,13840.03,18400.5,25824.01,117861.97,,,,,,
2024-01-01,11802,15371.3742,9796.259695,825.27,8619.0725,12167.74,18536.225,111868.46,,,,,,
